MODEL,VARIENT,YEAR,,EX HSOWROOM
,,,,
,,,,
Trident ,660,2021,Petrol ,"6,95,000"
Trident ,900,2021,Petrol ,"13,70,000"
,,,,
Scrambler ,1200,2017,Petrol ,"13,75,000"
,,,,
Rocket ,3,2020,Petrol ,"21,50,000"
,,,,
Street-triple,765Rs,2007,Petrol ,"11,35,000"
Street-twin,675,2021,Petrol ,"8,85,000"
Street ,Scrambler 900 ,2021,Petrol ,"9,95,000"
,,,,
Bonneville ,Speedmaster ,2018,Petrol ,"12,75,000"
Bonneville ,Bobber ,2021,Petrol ,"12,75,000"
,,,,
Scrambler ,1200,2017,Petrol ,"13,75,000"
,,,,
Speed-twin,900,2018,Petrol ,"10,99,000"
Speed-triple,1200,1994,Petrol ,"17,95,000"
,,,,
Tiger ,850 Sport ,2020,Petrol ,"11,95,000"
